Ingredient Name,Primary Search Query,Alternative Search,Image Style,Quick Notes
Blue-Green Algae,spirulina algae blue,blue green algae powder,Natural Source,Blue-green algae
Blueberry,fresh blueberries,blueberry fruit antioxidant,Food Source,Fresh blueberries - vibrant!
Broccoli,fresh broccoli green,broccoli florets nutrition,Food Source,Fresh green broccoli
Brussels Sprouts,brussels sprouts fresh,brussels sprouts green,Food Source,Fresh Brussels sprouts
Cherry,fresh cherries red,cherry fruit antioxidant,Food Source,Fresh red cherries
Chlorella,chlorella algae green,chlorella powder supplement,Natural Source,Green chlorella
Chokeberry,chokeberry aronia dark,dark berries superfood,Natural Source,Dark aronia berries
Cranberry,fresh cranberries red,cranberry fruit health,Food Source,Fresh red cranberries
Grape Skin,red grape skin,purple grapes fresh,Food Source,Grape skins or grapes
Kale,fresh kale leaves,kale superfood green,Food Source,Fresh curly kale
Mustard Seed,mustard seeds yellow,mustard seeds brown,Natural Source,Yellow or brown seeds
Pomegranate,pomegranate seeds red,pomegranate fruit fresh,Food Source,Red seeds - beautiful!
Raspberry,fresh raspberries red,raspberry fruit antioxidant,Food Source,Fresh red raspberries
Red Cabbage,red cabbage purple,purple cabbage fresh,Food Source,Purple/red cabbage
Red Wine,red wine glass,wine grapes antioxidant,Food Source,Red wine or grapes
Spirulina,spirulina powder blue,spirulina algae superfood,Natural Source,Blue-green powder
Strawberry,fresh strawberries red,strawberry fruit nutrition,Food Source,Fresh red strawberries
Wasabi,wasabi root green,wasabi paste japanese,Natural Source,Fresh wasabi root
Wheat Grass,wheat grass green,wheatgrass juice powder,Botanical,Fresh green wheat grass
White Tea,white tea leaves,tea leaves delicate,Natural Source,Delicate tea leaves
Berberine,berberine yellow supplement,goldenseal barberry root,Botanical,Yellow berberine
Berberine Phospholipid Complex,supplement capsules yellow,berberine wellness health,Abstract,Yellow capsules
Choline,eggs lecithin nutrition,brain health supplements,Food Source,Eggs or choline foods
Chondroitin Sulfate,joint health supplements,cartilage health wellness,Abstract,Joint capsules
D-Mannose,white powder supplement,urinary health wellness,Abstract,White powder
Daidzein,soy isoflavones supplement,soybean nutrition wellness,Food Source,Soybeans
DHEA,hormone supplement capsules,wellness aging health,Abstract,Capsules
Diosmin,citrus bioflavonoid supplement,vein health wellness,Abstract,Supplement imagery
Genistein,soy isoflavones nutrition,edamame soybeans fresh,Food Source,Soybeans or edamame
Glucosamine Sulfate,glucosamine supplement capsules,joint health wellness,Abstract,White capsules
Guarana,guarana seeds red,guarana plant energy,Botanical,Red guarana seeds
Hesperidin,orange peel citrus,citrus bioflavonoids supplement,Food Source,Orange peel
Huperzine Extract,supplement capsules brain,memory wellness health,Abstract,Brain health capsules
Indole-3-Carbinol,cruciferous vegetables broccoli,broccoli cabbage nutrition,Food Source,Broccoli or cabbage
Melatonin,melatonin supplement sleep,sleep wellness night,Abstract,Sleep supplements
MSM,msm supplement powder,joint health wellness,Abstract,White MSM powder
Mushroom Blend,medicinal mushrooms variety,reishi shiitake mushrooms,Botanical,Variety of mushrooms
Parsley Seed oil,fresh parsley herb,parsley seeds green,Botanical,Fresh parsley
Phosphatidyl Choline,lecithin supplement capsules,brain health wellness,Abstract,Softgel capsules
Phosphatidyl Serine,brain supplement capsules,memory wellness health,Abstract,Brain capsules
Phytoceramides,skin supplement wellness,beauty wellness capsules,Abstract,Skin health capsules
Phytosterols,plant sterols supplement,heart health wellness,Abstract,Heart health capsules
Psyllium Husk Powder,psyllium husk fiber,fiber powder supplement,Natural Source,Psyllium husk
Royal Jelly,royal jelly honeycomb,bee royal jelly,Natural Source,Honeycomb or royal jelly
Rutin,buckwheat rutin nutrition,citrus bioflavonoids supplement,Food Source,Buckwheat or citrus
Silymarin,milk thistle purple,milk thistle seeds,Botanical,Purple milk thistle
Soy Isoflavones,soybeans edamame nutrition,soy supplement capsules,Food Source,Soybeans or edamame
UC-II® Chicken Cartilage,joint health supplements,cartilage wellness health,Abstract,Joint capsules
Vinpocetine,brain supplement capsules,periwinkle plant purple,Abstract,Brain capsules
